"Title","Year","TheNumbers_Budget","Kraggle_Budget"
"ask me anything",2014,NA,950000
"assassination (2015)",2015,NA,NA
"assassin's creed",2016,NA,125000000
"assassin’s creed",2016,1.25e+08,NA
"asterix: the mansions of the gods",2014,NA,30000000
"a street cat named bob",2016,NA,8000000
"asura: the city of madness",2016,NA,NA
"a tale of love and darkness",2015,NA,4000000
"a tale of love and darkness",2016,NA,NA
"a tale of winter (conte d'hiver)",2014,NA,NA
"a taxi driver",2017,NA,NA
"atlas shrugged part iii: who is john galt?",2014,NA,5000000
"atlas shrugged: who is john galt?",2014,5e+06,NA
"atomic blonde",2017,3e+07,30000000
"attack on titan: part 1",2015,NA,NA
"attack on titan: part 2",2015,NA,NA
"attraction",2017,NA,6277106
"a united kingdom",2016,NA,14000000
"a united kingdom",2017,NA,NA
"author: the jt leroy story",2016,NA,NA
"automata",2014,NA,7000000
"avengers: age of ultron",2015,330600000,280000000
"a violent prosecutor",2016,NA,500
"awake: the life of yogananda",2014,NA,NA
"a walk among the tombstones",2014,2.8e+07,28000000
"a walk in the woods",2015,NA,8000000
"a war",2016,NA,NA
"awol-72",2015,NA,3000000
"a woman's life",2017,NA,NA
"baaghi",2016,NA,NA
"baahubali 2: the conclusion",2017,3e+07,18000000
"baahubali: the beginning",2015,4e+07,40000000
"baar baar dekho",2016,NA,NA
"babai",2015,NA,2137000
"baby driver",2017,3.4e+07,34000000
"back in time",2015,NA,190000
"back in time (congcong nanian)",2014,NA,NA
"back to mom's",2016,NA,8600000
"back to the future day",2015,NA,NA
"back to the jurassic",2015,NA,NA
"bad ass 2: bad asses",2014,NA,5500000
"bad asses on the bayou",2015,NA,5300000
"bad ben",2016,NA,300
"badge of honor",2015,NA,5000000
"bad kids of crestview academy",2017,NA,5000000
"badlapur",2015,NA,3700000
"bad moms",2016,2e+07,20000000
"badrinath ki dulhania",2017,NA,NA
"bad santa 2",2016,NA,26000000
"bad words",2014,1e+07,NA
"bajirao mastani",2015,NA,19500000
"bajrangi bhaijaan",2015,1.3e+07,14000000
"ballerina",2016,NA,30000000
"ballerina",2017,3e+07,NA
"bangalore days",2014,NA,7400000
"bang bang",2014,NA,NA
"bang bang baby",2014,NA,1000000
"banking on bitcoin",2016,NA,100000
"barbecue",2014,NA,6000000
"barbershop: the next cut",2016,2e+07,20000000
"barefoot",2014,NA,6000000
"barely lethal",2015,NA,NA
"bastille day",2016,NA,20000000
"batman: bad blood",2016,NA,3500000
"batman: return of the caped crusaders",2016,NA,3500000
"batman: the killing joke",2016,NA,3500000
"batman v superman: dawn of justice",2016,2.5e+08,250000000
"battle for sevastopol",2015,NA,5000000
"battle of the sexes",2017,2.5e+07,NA
"baywatch",2017,6e+07,69000000
"bears",2014,NA,NA
"beasts of no nation",2015,NA,6000000
"beatriz at dinner",2017,NA,NA
"beautiful girl",2014,NA,3000000
"beauty and the beast",2014,NA,33000000
"beauty and the beast",2017,1.6e+08,160000000
"beauty and the beast (2017)",2017,NA,NA
"before i fall",2017,5e+06,5000000
"before i go to sleep",2014,2.2e+07,22000000
"before we go",2015,NA,NA
"begin again",2014,8e+06,NA
"beijing love story",2014,NA,NA
"being 17",2016,NA,NA
"believe",2016,3500000,NA
"belle",2014,NA,NA
"beloved sisters",2015,NA,NA
"be my cat: a film for anne",2015,NA,10000
"bending the arc",2017,NA,NA
"ben-hur",2016,9.5e+07,100000000
"ben-hur (2016)",2016,NA,NA
"best of enemies",2015,NA,1000000
"bethlehem",2014,NA,NA
"better living through chemistry",2014,NA,5000000
"better watch out",2017,NA,NA
"beyond outrage",2014,NA,NA
"beyond the lights",2014,7e+06,7000000
"beyond the reach",2015,NA,NA
"bicycling with moliere",2014,NA,NA
