"Title","Year","TheNumbers_Budget","Kraggle_Budget"
"hasee toh phasee",2014,NA,NA
"hateship loveship",2014,NA,NA
"have fun, vasya!",2017,NA,707503
"hazlo como hombre (do it like an hombre)",2017,NA,NA
"heart of a dog",2015,NA,NA
"heaven is for real",2014,1.2e+07,12000000
"heaven knows what",2015,NA,NA
"hector and the search for happiness",2014,NA,NA
"heist",2015,NA,8900000
"heist (2015)",2015,NA,NA
"helios",2015,NA,25784494
"hello, my name is doris",2015,NA,1000000
"hello, my name is doris",2016,NA,NA
"hell or high water",2016,1.2e+07,12000000
"he named me malala",2015,NA,NA
"heneral luna",2015,NA,NA
"her",2014,2.3e+07,NA
"hercules",2014,1e+08,100000000
"hercules (2014)",2014,NA,NA
"hero (2015)",2015,NA,NA
"heropanti",2014,NA,4200000
"he's a dragon",2015,NA,18000000
"he who dares",2014,NA,1000000
"hidden figures",2016,2.5e+07,25000000
"high-rise",2016,NA,NA
"high strung (2016)",2016,NA,NA
"highway (2014)",2014,NA,NA
"hillary's america: the secret history of the democratic party",2016,NA,5000000
"hillary’s america: the secret history of the democratic party",2016,5e+06,NA
"hillsong - let hope rise",2016,NA,NA
"hippocrates, diary of a french doctor",2015,NA,NA
"hitchcock/truffaut",2015,NA,NA
"hitman: agent 47",2015,3.5e+07,35000000
"hits",2014,NA,1000000
"hockney",2016,NA,NA
"holiday (2014)",2014,NA,NA
"hollidaysburg",2014,NA,600000
"home",2015,1.3e+08,135000000
"home (2015)",2015,NA,NA
"home again",2017,1.5e+07,NA
"home sweet hell",2015,NA,3000000
"honeymoon",2014,NA,1000000
"hoovey",2015,NA,2
"horns",2014,NA,NA
"horoscope for good luck",2015,NA,2800000
"horrible bosses 2",2014,4e+07,42000000
"#horror",2015,NA,1500000
"horses of god",2014,NA,NA
"hostiles",2017,NA,NA
"hotel transylvania 2",2015,8e+07,80000000
"hot pursuit",2015,3.5e+07,35000000
"hot tub time machine 2",2015,1.4e+07,14000000
"housefull 3",2016,NA,NA
"howards end (2016 restoration)",2016,NA,NA
"how to be a latin lover",2017,1e+07,NA
"how to be single",2016,3.7e+07,38000000
"how to let go of the world and love all the things climate can't change",2016,NA,1600000
"how to train your dragon 2",2014,1.45e+08,145000000
"human",2015,NA,13000000
"human capital",2014,NA,6000000
"human capital",2015,NA,NA
"human flow",2017,NA,NA
"humpty sharma ki dulhania",2014,NA,NA
"hungry hearts",2015,NA,NA
"hunt for the wilderpeople",2016,2500000,NA
"hypernormalisation",2016,NA,36501
"i",2015,NA,16000000
"i (2015)",2015,NA,NA
"i am eleven",2014,NA,NA
"i am not madame bovary",2016,NA,NA
"i am not your negro",2017,NA,NA
"i am wrath",2016,NA,18000000
"i believe in miracles",2015,NA,768
"iboy",2017,NA,1500000
"i can quit whenever i want",2014,NA,2000000
"i can speak",2017,NA,NA
"ice age: collision course",2016,1.05e+08,105000000
"iceman (2014)",2014,NA,NA
"ida",2014,2600000,NA
"i, daniel blake",2017,NA,NA
"identicals",2015,NA,2004384
"if i stay",2014,1.1e+07,11000000
"i, frankenstein",2014,6.5e+07,65000000
"i'll see you in my dreams",2015,NA,NA
"ilo ilo",2014,NA,NA
"i'm not ashamed",2016,NA,1500000
"i’m not ashamed",2016,1500000,NA
"incarnate",2016,5e+06,5000000
"independence day: resurgence",2016,1.65e+08,165000000
"independents' day",2016,NA,500000
"indignation",2016,NA,NA
"indru netru naalai",2015,NA,620000
"in dubious battle",2017,NA,15000000
"inferno",2016,7.5e+07,75000000
"infinitely polar bear",2014,NA,6700000
"infinitely polar bear",2015,NA,NA
"ingrid bergman: in her own words",2015,NA,NA
"in harmony",2016,NA,NA
"inherent vice",2014,2e+07,20000000
"in her name (au nom de ma fille)",2016,NA,NA
"inhumans",2017,NA,NA
"in order of disappearance",2014,NA,4161012
"in order of disappearance",2016,NA,NA
"in secret",2014,NA,NA
"inside out",2015,1.75e+08,175000000
"insidious chapter 3",2015,1e+07,NA
"insidious: chapter 3",2015,NA,10000000
"insurgent",2015,NA,110000000
"interstellar",2014,1.65e+08,165000000
"in the basement",2015,NA,NA
"in the blood",2014,NA,10000000
"in the crosswind",2014,NA,650000
"in the forests of siberia",2016,NA,3500000
"in the heart of the sea",2015,1e+08,100000000
"in the name of my daughter",2015,NA,NA
"in the shadow of women",2016,NA,NA
"in this corner of the world",2017,NA,NA
"into the grizzly maze",2015,NA,10000000
"into the storm",2014,5e+07,50000000
"into the woods",2014,56200000,50000000
"in your eyes",2014,NA,1000000
"i origins",2014,1e+06,NA
"ip man 3",2015,NA,36000000
"ip man 3",2016,NA,NA
"iris (2015)",2015,NA,NA
"irrational man",2015,NA,11000000
"irudhi suttru",2016,NA,300000
"i saw the light",2016,NA,13000000
"island of lemurs: madagascar (imax)",2014,NA,NA
"i smile back",2015,NA,NA
"it",2017,3.5e+07,NA
"i.t.",2016,NA,13000000
"italiano medio",2015,NA,1816720
"it comes at night",2017,5e+06,5000000
"it follows",2015,2e+06,2000000
"ithaca",2015,NA,5000000
"i, tonya",2017,1.1e+07,NA
"it's all good",2016,NA,75000
"it's all so quiet (boven is het stil)",2015,NA,NA
"ixcanul",2016,NA,NA
"jack and the cuckoo-clock heart",2014,NA,NA
"jackie",2016,9e+06,9000000
"jackpot",2014,NA,NA
"jack reacher: never go back",2016,6e+07,60000000
"jack ryan: shadow recruit",2014,6e+07,60000000
"jack strong",2014,NA,3335702
"jafar panahi's taxi",2015,NA,NA
"jai gangaajal",2016,NA,1500000
"jai ho",2014,NA,NA
"james cameron's deepsea challenge 3d",2014,NA,NA
"jane (2017)",2017,NA,NA
"jane got a gun",2016,2.5e+07,25000000
"janis: little girl blue",2015,NA,NA
"jason bourne",2016,1.2e+08,120000000
"jauja",2015,NA,NA
"jeepers creepers 3",2017,NA,NA
"jem and the holograms",2015,5e+06,5000000
"jenny's wedding",2015,NA,NA
"jersey boys",2014,4e+07,40000000
"jersey shore massacre",2014,NA,1400000
"jeruzalem",2016,NA,NA
"jessabelle",2014,NA,NA
"jigarthanda",2014,NA,1600000
"jigsaw",2017,1e+07,NA
"jill and joy",2014,NA,2100000
"jimi: all is by my side",2014,5e+06,NA
"jimmy's hall",2015,NA,NA
"jimmy vestvood: amerikan hero",2016,NA,2500000
"jingle all the way 2",2014,NA,5000000
"jìyì dàshī",2017,2e+07,NA
"joe",2014,4e+06,4000000
"joe (2014)",2014,NA,NA
"john wick",2014,3e+07,20000000
"john wick: chapter 2",2017,NA,40000000
"john wick: chapter two",2017,4e+07,NA
"jolly llb 2",2017,NA,NA
"journey to the west",2014,NA,NA
"journey to the west: the demons strike back",2017,NA,NA
"joy",2015,6e+07,60000000
"judwaa 2",2017,NA,NA
"julieta",2016,NA,1490000
"jumanji: welcome to the jungle",2017,9e+07,NA
"junior",2014,NA,8358460
"jupiter ascending",2015,1.79e+08,176000003
"jurassic world",2015,2.15e+08,150000000
"just a sigh",2014,NA,NA
"just getting started",2017,2.2e+07,NA
"justice league",2017,3e+08,NA
"justice league: throne of atlantis",2015,NA,3500000
"justice league: war",2014,NA,3500000
"just jim",2015,NA,400000
"kaabil",2017,NA,5200000
"kabali",2016,NA,18700000
"kahlil gibran's the prophet",2015,NA,NA
"kahlil gibran's the prophet (gathr)",2015,NA,NA
"kaili blues",2016,NA,NA
"kammatipaadam",2016,NA,1500000
"kano",2014,NA,7
"kapoor & sons - since 1921",2016,NA,NA
"kaptaan",2016,NA,NA
"karbala",2015,NA,3200000
"katti batti",2015,NA,NA
"katyar kaljat ghusali",2015,NA,1500000
"keanu",2016,1.5e+07,15000000
"kedi",2017,NA,NA
"keeping up with the joneses",2016,NA,40000000
"kevin hart: what now?",2016,1e+07,NA
"khoobsurat",2014,NA,NA
"kick",2014,NA,22000000
"kickboxer: vengeance",2016,NA,17000000
"kidnap",2017,2.1e+07,21000000
"kidnap (2017)",2017,NA,NA
"kidnapping, caucasian style",2014,NA,3500000
"ki & ka",2016,NA,NA
"kiki, love to love",2016,NA,NA
"kill me three times",2015,NA,NA
"kill switch",2017,NA,1000000
"kill the messenger",2014,5e+06,5000000
"kindergarten teacher",2015,NA,NA
"king arthur: legend of the sword",2017,1.75e+08,175000000
"kingdom come",2014,NA,3000000
"kingsglaive: final fantasy: xv",2016,NA,NA
"kingsman: the golden circle",2017,1.04e+08,NA
"kingsman: the secret service",2015,9.4e+07,81000000
"klown forever",2016,NA,NA
"knight of cups",2016,NA,NA
"knock knock",2015,NA,2500000
"kóblic",2016,NA,3500000
"kochadaiiyaan",2014,NA,NA
"kong: skull island",2017,1.85e+08,185000000
"krampus",2015,1.5e+07,15000000
"kristy",2014,NA,6900000
"kubo and the two strings",2016,5.5e+07,60000000
"kumiko, the treasure hunter",2015,NA,NA
"kung fu jungle",2014,NA,25000000
"kung fu killer",2015,NA,NA
"kung fu panda 3",2016,1.4e+08,145000000
"kung fury",2015,NA,630019
"kung fu yoga",2017,NA,65000000
"labor day",2014,1.8e+07,NA
"labyrinth of lies",2015,NA,NA
"ladrones",2015,NA,NA
"lady bird",2017,1e+07,NA
"lady macbeth",2017,NA,NA
"lady of csejte",2015,NA,2000000
"laggies",2014,NA,NA
"lake bodom",2016,NA,1100000
"la la land",2016,2e+07,30000000
"landmine goes click",2015,NA,1000000
"land of mine",2015,NA,5070773
"land of mine",2016,NA,NA
"lapland odyssey 2",2015,NA,1730000
"la sapienza",2015,NA,NA
"last cab to darwin",2016,NA,NA
"last flag flying",2017,NA,NA
"late bloomer",2016,NA,1600000
"latitudes",2014,NA,670
"l'attesa",2016,NA,NA
"lazer team",2016,NA,2480421
"lbj",2017,2e+07,NA
"league of gods",2016,NA,38000000
"leap!",2017,NA,NA
"learning to drive",2015,NA,NA
"leave the world behind",2014,NA,750000
"le chef",2014,NA,NA
"le crocodile du botswanga",2014,NA,10916704
"left behind",2014,1.6e+07,16000000
"left behind (2014)",2014,NA,NA
"legend",2015,2.5e+07,25000000
"legends of oz: dorothy's return",2014,NA,NA
"legends of oz: dorothy’s return",2014,7e+07,NA
"les cowboys",2016,NA,NA
"let's be cops",2014,NA,17000000
"let’s be cops",2014,1.7e+07,NA
"let's get married",2015,NA,NA
"let's kill ward's wife",2014,NA,5000000
"letters from baghdad",2017,NA,NA
"leviathan (2014)",2014,NA,NA
"le week-end",2014,NA,NA
"liar, liar, vampire",2015,NA,3500000
"life",2015,NA,12000000
"life",2017,5.8e+07,58000000
"life (2017)",2017,NA,NA
"life after beth",2014,NA,2400000
"life, animated",2016,NA,NA
"life in a fishbowl",2014,NA,2700000
"life of a king",2014,NA,NA
"life of crime",2014,NA,NA
"life of riley",2014,NA,NA
"life's a breeze",2014,NA,NA
"lights out",2016,5e+06,4900000
"like crazy (2017)",2017,NA,NA
"like father, like son (2014)",2014,NA,NA
"like for likes",2016,NA,NA
"lila & eve",2015,NA,NA
"lila lila",2014,NA,NA
"lilting",2014,NA,NA
"lion",2016,1.2e+07,12000000
"listen to me marlon",2015,NA,NA
"listen up philip",2014,NA,NA
"little boy",2015,2e+07,20000000
"little men (2016)",2016,NA,NA
"little wing",2016,NA,1000000
"little witch academia: the enchanted parade",2015,NA,625
"live by night",2016,6.5e+07,108000000
"living is easy with eyes closed",2014,NA,NA
"lo and behold, reveries of the connected world",2016,NA,NA
"locke",2014,NA,2000000
"logan",2017,1.27e+08,97000000
"logan lucky",2017,2.9e+07,NA
"loham",2015,NA,1050255
"lolo",2016,NA,NA
"london has fallen",2016,6e+07,60000000
"look who's back",2015,NA,3196621
"l.o.r.d: legend of ravaging dynasties",2016,NA,NA
"lost in hong kong",2015,NA,NA
"lost in munich",2015,NA,1509896
"lost in paris",2017,NA,NA
"lost in the sun",2015,NA,25000
"lost river",2015,NA,2000000
"loucas pra casar",2015,NA,3000000
"louder than bombs",2015,NA,11000000
"louder than bombs",2016,NA,NA
"love",2015,NA,3000000
"love (2015)",2015,NA,NA
"love and lost (shi gu)",2015,NA,NA
"love finds you in valentine",2016,NA,1000000
"love forecast",2015,NA,NA
"love & friendship",2016,NA,3000000
"love is in the air",2014,NA,NA
"love is strange",2014,NA,NA
"love, lies",2016,NA,120
"love live! the school idol movie",2015,NA,NA
"love & mercy",2015,NA,NA
"love on the cloud (wei ai)",2014,NA,NA
"love, rosie",2015,NA,NA
"love the coopers",2015,1.8e+07,17000000
"love thy nature",2015,NA,NA
"loving",2016,9e+06,9000000
"loving vincent",2017,NA,NA
"lowriders",2017,916000,916000
"lucid dream",2017,NA,5000000
"luck-key",2016,NA,NA
"lucky (2017)",2017,NA,NA
"lucy",2014,4e+07,40000000
"lupin the 3rd",2014,NA,10500000
"lusers",2015,NA,2000000
"macbeth",2015,NA,15000000
"macbeth (2015)",2015,NA,NA
"madame bovary",2015,NA,NA
"mad max: fury road",2015,1.5e+08,150000000
"maggie",2015,NA,4000000
"maggie's plan",2016,NA,NA
"magic in the moonlight",2014,NA,16800000
"magic mike xxl",2015,14500000,14800000
"magnus",2016,NA,NA
"main tera hero",2014,NA,NA
"make your move",2014,NA,NA
"maleficent",2014,1.8e+08,180000000
"ma ma",2016,NA,NA
"mamaboy",2017,NA,700000
"manchester by the sea",2016,8500000,9000000
"manglehorn",2015,NA,4000000
"manifesto",2017,NA,10000
"manjhi the mountain man",2015,NA,1230000
"man vs.",2015,NA,1500000
"maps to the stars",2015,NA,NA
"marauders",2016,NA,15000000
"marguerite",2016,NA,NA
"marie's story",2015,NA,NA
"marius",2014,NA,NA
"marjorie prime",2017,NA,NA
"mark felt: the man who brought down the white house",2017,NA,NA
"marshall",2017,1.2e+07,NA
"marshland",2014,NA,4000000
"mary kom",2014,NA,224056
"mascots",2016,NA,20000000
"mas negro que la noche",2014,NA,NA
"master",2016,NA,NA
"masterminds",2016,NA,25000000
"masterminds (2016)",2016,NA,NA
"mastizaade",2016,NA,NA
"maudie",2017,NA,NA
"max",2015,2e+07,20000000
"max (2015)",2015,NA,NA
"max & leon",2016,NA,12156348
"max & leon",2017,NA,NA
"max steel",2016,1e+07,10000000
"may god forgive us",2016,NA,4000000
"may in the summer",2014,NA,NA
"maze runner: the scorch trials",2015,6.1e+07,61000000
"mcfarland, usa",2015,1.7e+07,NA
"me and earl and the dying girl",2015,8e+06,NA
"me before you",2016,2e+07,20000000
"mechanic: resurrection",2016,4e+07,40000000
"mediterranea",2015,NA,NA
"meet the blacks",2016,9e+05,NA
"meet the mormons",2014,2e+06,NA
"mei ren yu",2016,60720000,NA
"memoir of a murderer",2017,NA,NA
"memories of the sword",2015,NA,NA
"men & chicken",2016,NA,NA
"men, women and children",2014,1.6e+07,NA
"men, women & children",2014,NA,NA
"mia madre",2016,NA,NA
"microbe & gasoline",2016,NA,NA
"middle school: the worst years of my life",2016,8500000,8500000
"midnight special",2016,1.8e+07,18000000
"midnight sun",2014,NA,18000000
"mike and dave need wedding dates",2016,3.3e+07,33000000
"miles ahead",2016,NA,NA
"million dollar arm",2014,2.5e+07,25000000
"mindgamers",2015,NA,22800000
"minions",2015,7.4e+07,74000000
"miracles from heaven",2016,1.3e+07,16000000
"miraculum",2014,NA,4600000
"misconduct",2016,NA,11000000
"miss hokusai",2016,NA,NA
"mission: impossible - rogue nation",2015,NA,150000000
"mission: impossible—rogue nation",2015,1.5e+08,NA
"mississippi grind",2015,NA,NA
"miss julie",2014,NA,5500000
"miss meadows",2014,NA,2000000
"miss peregrine's home for peculiar children",2016,NA,110000000
"miss peregrine’s home for peculiar children",2016,1.1e+08,NA
"miss sloane",2016,1.8e+07,13000000
"miss you already",2015,NA,NA
"mistress america",2015,NA,NA
"mixed feelings",2014,NA,2000000
"moana",2016,1.5e+08,150000000
"mohenjo daro",2016,NA,15050000
"mojave",2016,NA,NA
"mojin: the lost legend",2015,NA,37000000
"molly's game",2017,NA,NA
"molly’s game",2017,3e+07,NA
"momentum",2015,NA,20000000
"mommy",2014,NA,4900000
"mommy",2015,4900000,NA
"moms' night out",2014,NA,5000000
"moms’ night out",2014,5e+06,NA
"money monster",2016,2.7e+07,27000000
"monkey kingdom",2015,NA,NA
"monkey king: hero is back",2015,NA,10000000
"monster hunt",2015,NA,40000000
"monster hunt",2016,NA,NA
"monster trucks",2016,NA,125000000
"monster trucks",2017,1.25e+08,NA
"mood indigo",2014,NA,NA
"moomins on the riviera",2014,NA,4700000
"moonlight",2016,1500000,4000000
"moonlight (2016)",2016,NA,NA
"morgan",2016,8e+06,8000000
"morning star",2014,NA,3000000
"mortdecai",2015,6e+07,60000000
"moscow never sleeps",2017,NA,NA
"mother!",2017,3e+07,NA
"mother's day",2016,NA,25000000
"mother’s day",2016,2.5e+07,NA
"mountains may depart",2016,NA,NA
"mr. church",2016,NA,8000000
"mr. gaga: a true story of love and dance",2017,NA,NA
"mr. holmes",2015,NA,NA
"mr. peabody & sherman",2014,1.45e+08,145000000
"mr. pip",2014,NA,NA
"mr. right",2016,NA,8000000
"mrs. brown's boys d'movie",2014,NA,5900000
"mr. six",2015,NA,NA
"mr. turner",2014,1.4e+07,NA
"mr. x",2015,NA,NA
"m.s. dhoni: the untold story",2016,NA,NA
"mubarakan",2017,NA,NA
"muffin top: a love story",2014,NA,1100000
"munna michael",2017,NA,NA
"muppets most wanted",2014,5.5e+07,50000000
"murder on the orient express",2017,5.5e+07,NA
"murder on the orient express (2017)",2017,NA,NA
"mustang",2015,1400000,1300000
"musudan",2016,NA,500
"my all american",2015,NA,20000000
"my all-american",2015,2e+07,NA
"my annoying brother",2016,NA,NA
"my bakery in brooklyn",2016,NA,3800000
"my best friend's wedding (2016)",2016,NA,NA
"my big fat greek wedding 2",2016,1.8e+07,18000000
"my big night",2015,NA,4000000
"my cousin rachel",2017,NA,NA
"my golden days",2016,NA,NA
"my good hans",2015,NA,3500000
"my king (mon roi)",2016,NA,NA
"my life as a zucchini",2016,NA,8000000
"my life as a zucchini",2017,NA,NA
"my little pony: the movie",2017,NA,NA
"my love, don't cross that river",2016,NA,NA
"my old lady",2014,NA,5000000
"my scientology movie",2017,NA,NA
"naam hai akira",2016,NA,NA
"na maloom afraad",2014,NA,884130
"napping princess",2017,NA,NA
"narcopolis",2015,NA,1500000
"nasty baby",2015,NA,NA
"need for speed",2014,6.6e+07,66000000
"neerja",2016,NA,10721568
"neighbors",2014,1.8e+07,18000000
"neighbors 2: sorority rising",2016,3.5e+07,35000000
"neither heaven nor earth",2016,NA,NA
"neon bull",2016,NA,1500000
"neruda",2016,NA,NA
"nerve",2016,2e+07,19000000
"news from planet mars",2016,NA,NA
"new york, new york (2016)",2016,NA,NA
"next time i'll aim for the heart",2014,NA,5100000
"next time i'll aim for the heart",2016,NA,NA
"night at the museum: secret of the tomb",2014,1.27e+08,127000000
"nightcrawler",2014,8500000,8500000
"night guards",2016,NA,3800000
"night moves",2014,NA,NA
"night of something strange",2016,NA,40000
"night of the living dead: darkest dawn",2015,NA,750000
"night of the living deb",2015,NA,2000000
"nine lives",2016,NA,30000000
"nine lives (2016)",2016,NA,NA
"noah",2014,1.3e+08,125000000
"noble",2015,NA,NA
"nocturnal animals",2016,22500000,22500000
"no escape",2015,5e+06,5000000
"no good deed",2014,13200000,13200000
"no good deed (2014)",2014,NA,NA
"no letting go",2016,NA,500000
"noma - my perfect storm",2015,NA,NA
"no manches frida",2016,NA,NA
"non-stop",2014,5e+07,50000000
"no one's life is easy: so i married an anti-fan",2016,NA,NA
"norm of the north",2016,1.8e+07,18000000
"northern limit line",2015,NA,NA
"northern soul",2015,NA,NA
"no tears for the dead",2014,NA,NA
"no thanks",2014,NA,1600000
"now you see me 2",2016,9e+07,90000000
"nymphomaniac: volume i",2014,NA,NA
"nymphomaniac: volume ii",2014,NA,NA
"oasis: supersonic",2016,NA,NA
"obvious child",2014,1e+06,NA
"october 1",2014,NA,2
"oculus",2014,5e+06,NA
"ode to my father",2014,NA,NA
"office christmas party",2016,4.5e+07,45000000
"of horses and men",2015,NA,NA
"ohm shanthi oshaana",2014,NA,220000
"o kadhal kanmani",2015,NA,940000
"okja",2017,NA,50000000
"ok jaanu",2017,NA,NA
"omar",2014,NA,NA
"one chance",2014,NA,NA
"one eyed girl",2014,NA,1000000
"one man and his cow",2015,NA,5300000
"one minute time machine",2014,NA,1000
"one piece film: gold",2017,NA,NA
"one week and a day",2017,NA,NA
"only for one night",2016,NA,3500000
"only lovers left alive",2014,NA,NA
"only the brave",2017,3.8e+07,NA
"only yesterday (2016 re-release)",2016,NA,NA
"only you",2015,NA,NA
"on my way",2014,NA,NA
"on the brain",2016,NA,10
"on the other side of the tracks",2014,NA,NA
"on the way to school",2015,NA,NA
"ooops! noah is gone...",2015,NA,6000000
"open windows",2014,NA,NA
"operações especiais",2015,NA,6000000
"operation avalanche",2016,NA,1000000
"operation chromite",2016,12700000,NA
"operation mekong",2016,NA,NA
"orleans",2015,NA,2500000
"oro",2017,NA,NA
"o shaolin do sertão",2016,NA,2000000
"ouija",2014,5e+06,5000000
"ouija: origin of evil",2016,9e+06,9000000
"our brand is crisis",2015,2.8e+07,28000000
"our brand is crisis (2015)",2015,NA,NA
"our kind of traitor",2016,NA,NA
"our last tango",2016,NA,NA
"our little sister",2016,NA,NA
"our lovers",2016,NA,1400000
"our president",2017,NA,NA
"out 1, noli me tangere",2015,NA,NA
"outcast",2014,NA,25000000
"out of nature",2014,NA,950000
"overdrive",2017,NA,NA
"ozzy",2016,NA,10000000
"paddington",2014,NA,55000000
"paddington",2015,5.5e+07,NA
"palm trees in the snow",2015,NA,10000000
"palo alto",2014,1e+06,NA
"pan",2015,1.5e+08,150000000
"papa: hemingway in cuba",2016,NA,NA
"papa (luo shan ji dao dan ji hua)",2016,NA,NA
"paper towns",2015,1.2e+07,12000000
"paranormal activity: the ghost dimension",2015,1e+07,10000000
"paranormal activity: the marked ones",2014,5e+06,5000000
"parched",2015,NA,2700000
"paris can wait",2016,NA,5000000
"paris can wait",2017,NA,NA
"parts per billion",2014,NA,500000
"passengers",2016,1.1e+08,110000000
"passengers (2016)",2016,NA,NA
"paterson",2016,5e+06,5000000
"patriots day",2016,4e+07,45000000
"patti cake$",2017,1e+06,NA
"paul blart: mall cop 2",2015,3.8e+07,38000000
"paulette",2015,NA,NA
"pawn sacrifice",2015,NA,19000000
"peace code",2014,NA,1500000
"pearl button",2015,NA,NA
"peggy guggenheim art addict",2015,NA,NA
"pele: birth of a legend",2016,NA,NA
"pelli choopulu",2016,NA,200000
"penguins of madagascar",2014,1.32e+08,132000000
"people places things",2015,NA,NA
"personal shopper",2016,NA,6000000
"personal shopper",2017,NA,NA
"pete's dragon",2016,NA,65000000
"pete’s dragon",2016,6.5e+07,NA
"pete's dragon (2016)",2016,NA,NA
"phantom (2015)",2015,NA,NA
"phantom boy",2016,NA,NA
"phantom detective",2016,NA,NA
"phantom of the theatre",2016,NA,NA
"phantom thread",2017,NA,NA
"phillauri",2017,NA,NA
"phoenix (2015)",2015,NA,NA
"phoenix forgotten",2017,NA,2800000
"piku",2015,NA,5500000
"pink",2016,NA,75000000
"pioneer",2014,NA,NA
"pioneer heroes",2015,NA,500000
"pirates of the caribbean: dead men tell no tales",2017,2.3e+08,230000000
"pitch perfect 2",2015,2.9e+07,29000000
"pitch perfect 3",2017,4.5e+07,NA
"pixels",2015,9e+07,88000000
"pk",2014,NA,13000000
"p.k.",2014,NA,NA
"plague",2014,NA,200000
"planes: fire and rescue",2014,5e+07,NA
"planes: fire & rescue",2014,NA,50000000
"plastic",2014,NA,10
"plot for peace",2014,NA,NA
"point break",2015,1e+08,105000000
"point break (2015)",2015,NA,NA
"pokémon the movie: diancie and the cocoon of destruction",2014,NA,24720400
"pokémon the movie: hoopa and the clash of ages",2015,NA,150000000
"pokemon the movie: i choose you!",2017,NA,NA
"policeman",2014,NA,NA
"poltergeist",2015,3.5e+07,35000000
"poltergeist (2015)",2015,NA,NA
"pompeii",2014,8e+07,130000000
"pop aye",2017,NA,NA
"popstar: never stop never stopping",2016,2e+07,NA
"porta dos fundos: contrato vitalício",2016,NA,840000
"porto",2017,NA,NA
"port of call",2015,NA,5000000
"poster boys",2017,NA,NA
"postman pat: the movie",2014,NA,NA
"pound of flesh",2015,NA,7500000
"power rangers",2017,1.2e+08,100000000
"power rangers (2017)",2017,NA,NA
"precious cargo",2016,NA,10500000
"predestination",2014,NA,5500000
"predestination",2015,NA,NA
"préjudice",2015,NA,2800000
"premam",2015,NA,6200000
"prem ratan dhan payo",2015,NA,23400000
"presidentintekijät",2014,NA,200000
"pride (2014)",2014,NA,NA
"pride and prejudice and zombies",2016,2.8e+07,28000000
"project almanac",2015,1.2e+07,12000000
"pro wrestlers vs zombies",2014,NA,230000
"pure pwnage: teh movie",2016,NA,220093
"pyaar ka punchnama 2",2015,NA,NA
"queen and country",2015,NA,NA
"queen of earth",2015,NA,NA
"queen of katwe",2016,NA,15000000
"queen of spades: the dark rite",2015,NA,1000000
"queen of the desert",2015,NA,15000000
"que horas ela volta?",2015,1200000,NA
"quo vado?",2016,NA,10000000
"rabin, the last day",2015,NA,4600000
"race",2016,5e+06,5000000
"race (2016)",2016,NA,NA
"rage",2014,NA,21000000
"ragnarok",2014,NA,NA
"railroad tigers",2016,NA,50000000
"railroad tigers",2017,NA,NA
"raising the bar",2016,NA,600000
"raja natwarlal",2014,NA,5
"raman raghav 2.0",2016,NA,521873
"rams (hrútar)",2016,NA,NA
"ran (2016 re-issue)",2016,NA,NA
"rangoon",2017,NA,12003848
"raspberry boat refugee",2014,NA,3200000
"ratchet and clank",2016,2e+07,NA
"ratchet & clank",2016,NA,20000000
"ratter",2015,NA,500000
"raw",2016,NA,3500000
"raw (2017)",2017,NA,NA
"reach me",2014,NA,5000000
"realive",2016,NA,7000000
"reasonable doubt",2014,NA,8000000
"rec 4: apocalypse",2015,NA,NA
"red army",2015,NA,NA
"redirected",2014,NA,2700000
"redistributors",2016,NA,500000
"red knot",2014,NA,80
"red nose day actually",2017,NA,4000000
"regression",2016,NA,NA
"regular show: the movie",2015,NA,3000000
"re-kill",2015,NA,9500000
"remember (canada release)",2015,NA,NA
"remember (us release)",2016,NA,NA
"remember you",2016,NA,NA
"reminiscence",2014,NA,500000
"repentance",2014,NA,5000000
"resident evil: the final chapter",2016,NA,40000000
"resident evil: the final chapter",2017,4e+07,NA
"retribution",2015,NA,4000000
"return to the hiding place",2014,NA,NA
"reunion",2015,NA,1432960
"revenge of the green dragons",2014,NA,5000000
"ricki and the flash",2015,1.8e+07,18000000
"ride along",2014,2.5e+07,25000000
"ride along 2",2016,4e+07,40000000
"right now, wrong then",2016,NA,NA
"rigor mortis",2014,NA,NA
"rings",2017,2.5e+07,25000000
"rio 2",2014,1.3e+08,103000000
"rio, i love you",2016,NA,NA
"riphagen",2016,NA,2300000
"rise",2014,NA,446000
"risen",2016,2e+07,20000000
"risto räppääjä ja liukas lennart",2014,NA,1300000
"road hard",2015,NA,1500000
"road to ninja - naruto the movie",2014,NA,NA
"robinson crusoe",2016,1.3e+07,13500000
"robocop",2014,1.2e+08,120000000
"robocop (2014)",2014,NA,NA
"robot overlords",2015,NA,21000000
"rock dog",2016,NA,60000000
"rock dog",2017,6e+07,NA
"rock the kasbah",2015,NA,15000000
"rogue one: a star wars story",2016,2e+08,200000000
"roman j. israel, esq.",2017,2.2e+07,NA
"room",2015,1.3e+07,6000000
"rosewater",2014,1e+07,NA
"rough night",2017,2e+07,20000000
"roukli",2015,NA,17973
"rudderless",2014,NA,5000000
"rules don't apply",2016,NA,25000000
"rules don’t apply",2016,26700000,NA
"run all night",2015,5e+07,50000000
"running man (2015)",2015,NA,NA
"rustom",2016,NA,1000000
"rv: resurrected victims",2017,NA,NA
"saala khadoos",2016,NA,NA
"sabotage",2014,3.5e+07,35000000
"sabotage (2014)",2014,NA,NA
"saint laurent",2015,NA,NA
"salut d'amour",2015,NA,NA
